title,price,link,size,bedrooms,parking_spaces,bathrooms
"Apartamento com 3 quartos a venda na Rua Conselheiro Cotegipe, Belenzinho, Sao Paulo, 71 m2 por R$ 699.000",699000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-belenzinho-121m2-RS699000/id-19634375/,71,3.0,1.0,2.0
Apartamento em Interlagos - 35m2 - 2 Dorms - Varanda e Vaga - Lazer Extraordinario,339900,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-interlagos-RS339900/id-29470790/,35,2.0,1.0,1.0
Conquista Club Butanta - 2 Dormitorios 33m2,199990,https://www.chavesnamao.com.br/lancamento/conquista-club-butanta-2-dormitorios-33m2/id-26382706/,33,2.0,1.0,
"Apartamento a venda, 65 m2 por R$ 450.000,00 - Vila Parque Jabaquara - Sao Paulo/SP",450000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-parque-jabaquara-65m2-RS450000/id-26583295/,65,3.0,1.0,2.0
"Apartamento em Condominio Padrao para Venda no bairro Vila Rosaria, 2 dorms, 1 vaga, 57,65 m",285000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-vila-rosaria-RS285000/id-14224284/,50,2.0,1.0,
"My Sacoma 34 a 43 m2, 1 ou 2 dorm, com opcao de sacada e vaga",230000,https://www.chavesnamao.com.br/lancamento/my-sacoma-34-a-43-m2-1-ou-2-dorm-com-opcao-de-sacada-e-vaga/id-28110688/,34,2.0,1.0,1.0
"Apartamento para Venda em Sao Paulo, Sao Miguel Paulista, 2 dormitorios, 1 banheiro, 1 vaga",297000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-sao-miguel-paulista-40m2-RS297000/id-29913624/,40,2.0,1.0,1.0
"Apartamento com 3 dormitorios a venda por R$ 2.300.000,00 - Edificio K by Cyrela - Sao Paulo/SP",2300000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-sp-sao-paulo-chacara-klabin-147m2-RS2300000/id-14655312/,147,3.0,4.0,
Mude Ja!!! LEIA DESCRICAO COMPLETA!!,259000,https://www.chavesnamao.com.br/lancamento/mude-ja-leia-descricao-completa-/id-28692438/,40,2.0,1.0,1.0
"Apartamento com 2 dormitorios a venda, 45 m2 por R$ 385.000,00 - Vila Antonieta - Sao Paulo/SP",385000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-antonieta-45m2-RS385000/id-19161041/,45,2.0,1.0,1.0
Apartamento a venda - Praca da Republica,540000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-sp-sao-paulo-republica-28m2-RS540000/id-24844251/,28,1.0,1.0,
APARTAMENTOS COM 1 E 2 DORM. CENTRO DO CAMBUCI,239900,https://www.chavesnamao.com.br/lancamento/apartamentos-com-1-e-2-dorm-centro-do-cambuci/id-24979497/,27,2.0,1.0,
"Apartamento para Venda em Sao Paulo, Vila Andrade, 3 dormitorios, 2 suites, 3 banheiros, 2 vagas",550000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-andrade-200m2-RS550000/id-23758778/,200,3.0,2.0,3.0
APARTAMENTO NO CONTRAPISO BAIRRO VILA MASCOTE,899000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-mascote-RS899000/id-28008220/,90,2.0,2.0,3.0
Excelente Oportunidade na Vila Formosa: Quavo - RED 73,325000,https://www.chavesnamao.com.br/lancamento/excelente-oportunidade-na-vila-formosa-quavo-red-73/id-23398725/,35,2.0,1.0,1.0
"Cobertura com 2 dormitorios a venda, 180 m2 por R$ 500.000,00 - Vila Mira - Sao Paulo/SP",500000,https://www.chavesnamao.com.br/imovel/cobertura-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-mira-RS500000/id-25443481/,180,2.0,1.0,3.0
